,address,area,date,location,time,type
1199,KALANIANAOLE HWY&KEAHOLE; ST,HAWAII KAI,12/2/2016, ,9:12:12 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1200,445X KAPOLEI PKWY,KAPOLEI,12/2/2016,TARGET KAPOLEI,9:07:13 PM,MOTOR VEHICLE COLLISION
1201,N KING ST&PETERSON; LN,KALIHI,12/2/2016, ,9:00:38 PM,MOTOR VEHICLE COLLISION
1202,9X H1E FWY,WAIPAHU,12/2/2016,WAIPAHU ONTO H1E,8:57:52 PM,MOTOR VEHICLE COLLISION
1203,PUNAHOU ST&WILDER; AVE,MAKIKI,12/2/2016, ,8:56:00 PM,MOTOR VEHICLE COLLISION
1204,KAHEKILI HWY&KAHUHIPA; ST,KANEOHE,11/29/2016, ,9:35:41 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1205,UNIVERSITY ONTO H1W,MANOA,11/29/2016,UNIVERSITY ONTO H1W,9:23:12 PM,HAZARDOUS DRIVER
1206,KEEAUMOKU ST&MATLOCK; AVE,HONOLULU,11/29/2016, ,9:17:50 PM,MOTOR VEHICLE COLLISION
1207,129X S BERETANIA ST,HONOLULU,11/29/2016,TIMES MARKET BERETAN,8:43:31 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1208,H2N WAHIAWA OFF,MILILANI,12/3/2016,H2N WAHIAWA OFF,3:15:50 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1209,98107X MOANALUA RD,AIEA,12/3/2016,PALI MOMI KAPIOLANI,3:14:12 PM,MOTOR VEHICLE COLLISION
1210,98085X MOANALUA RD,AIEA,12/3/2016,KAM DRIVE IN,3:06:44 PM,MOTOR VEHICLE COLLISION
1211,244X AUHUHU ST,PEARL CITY,12/3/2016, ,3:05:29 PM,MOTOR VEHICLE COLLISION
1212,98096X MOANALUA RD,AIEA,12/3/2016,PEARLRIDGE COMM PK,3:05:14 PM,MOTOR VEHICLE COLLISION
1213,FARRINGTON HWY&KAM; HWY,WAIPAHU,12/3/2016, ,3:03:53 PM,MOTOR VEHICLE COLLISION
1214,421X WAIALAE AVE,KAIMUKI,12/3/2016,KAHALA MALL,3:03:13 PM,MOTOR VEHICLE COLLISION
